1000
2
0,26704,
1,2089,
2,47218,
3,31678,
4,26686,
5,11923,
6,34372,
7,25678,
8,11113,
9,25855,
10,26773,
11,23059,
12,40540,
13,24427,
14,39205,
15,41248,
16,24997,
17,41872,
18,23425,
19,38089,
20,27076,
21,14986,
22,30613,
23,12754,
24,15985,
25,22693,
26,11524,
27,3130,
28,35701,
29,44575,
30,9442,
31,18826,
32,38323,
33,4039,
34,31825,
35,15646,
36,31375,
37,9736,
38,20842,
39,30730,
40,22744,
41,19621,
42,11779,
43,11881,
44,24094,
45,43264,
46,34900,
47,20629,
48,19225,
49,38743,
50,9385,
51,25270,
52,10276,
53,29548,
54,39019,
55,25525,
56,4150,
57,27469,
58,15712,
59,26089,
60,35002,
61,36061,
62,38131,
63,44509,
64,7363,
65,2734,
66,11611,
67,33565,
68,45766,
69,19099,
70,40051,
71,21820,
72,23311,
73,6643,
74,25039,
75,43519,
76,33349,
77,14548,
78,40129,
79,8089,
80,37777,
81,39727,
82,16837,
83,16687,
84,26377,
85,45346,
86,40471,
87,31807,
88,18130,
89,5959,
90,11881,
91,28162,
92,33334,
93,27802,
94,26155,
95,34555,
96,42631,
97,6835,
98,12025,
99,27442,
100,25792,
101,29662,
102,20437,
103,32293,
104,32497,
105,33448,
106,25246,
107,28711,
108,25624,
109,26212,
110,18979,
111,49372,
112,27481,
113,14074,
114,18472,
115,34276,
116,16297,
117,22021,
118,15070,
119,47626,
120,20779,
121,24478,
122,24346,
123,44020,
124,18754,
125,27691,
126,22561,
127,16219,
128,39484,
129,36343,
130,23329,
131,22078,
132,15592,
133,35884,
134,37867,
135,27805,
136,15529,
137,34384,
138,28519,
139,28564,
140,22699,
141,25024,
142,32005,
143,7642,
144,19885,
145,19450,
146,25618,
147,32755,
148,44899,
149,5740,
150,13771,
151,16942,
152,42643,
153,15169,
154,19984,
155,23302,
156,26797,
157,14188,
158,23314,
159,11803,
160,27814,
161,36895,
162,26716,
163,19498,
164,32005,
165,13240,
166,22486,
167,36190,
168,30865,
169,37228,
170,45427,
171,25075,
172,15223,
173,28741,
174,19288,
175,20173,
176,17134,
177,25273,
178,11305,
179,20077,
180,17056,
181,37516,
182,22321,
183,17020,
184,15676,
185,24973,
186,11074,
187,34261,
188,16483,
189,25444,
190,44554,
191,6502,
192,22681,
193,21307,
194,33253,
195,24607,
196,21772,
197,27307,
198,11227,
199,20512,
200,19594,
201,13654,
202,31771,
203,31849,
204,8368,
205,10888,
206,12652,
207,22456,
208,32107,
209,17758,
210,27400,
211,37510,
212,24562,
213,42199,
214,28966,
215,36031,
216,45280,
217,43039,
218,49894,
219,31027,
220,25183,
221,18478,
222,14602,
223,26335,
224,17575,
225,41287,
226,13063,
227,12382,
228,33907,
229,40573,
230,43639,
231,26089,
232,27439,
233,27184,
234,45310,
235,8812,
236,16360,
237,17290,
238,25885,
239,46384,
240,39169,
241,50524,
242,24289,
243,10714,
244,20755,
245,40699,
246,25021,
247,23806,
248,25177,
249,29446,
250,18601,
251,34669,
252,31969,
253,15508,
254,23560,
255,3031,
256,39568,
257,23080,
258,24523,
259,21634,
260,16486,
261,19591,
262,29140,
263,28486,
264,11293,
265,46207,
266,21568,
267,25282,
268,17353,
269,26317,
270,16225,
271,49234,
272,20095,
273,12940,
274,30931,
275,19339,
276,14647,
277,6955,
278,16153,
279,34921,
280,38251,
281,7162,
282,29101,
283,28693,
284,8590,
285,39127,
286,44425,
287,15781,
288,25297,
289,22828,
290,43042,
291,18376,
292,32296,
293,24604,
294,36142,
295,9802,
296,36667,
297,8533,
298,20011,
299,23656,
300,3166,
301,9766,
302,49816,
303,1348,
304,44377,
305,6886,
306,27127,
307,27919,
308,25972,
309,32842,
310,47584,
311,26350,
312,32188,
313,29434,
314,33595,
315,14497,
316,26719,
317,40150,
318,14335,
319,12766,
320,37456,
321,22405,
322,31060,
323,38422,
324,12232,
325,36208,
326,33394,
327,18853,
328,7657,
329,22795,
330,10795,
331,25102,
332,27709,
333,24604,
334,16024,
335,24928,
336,17917,
337,25120,
338,18184,
339,16156,
340,15433,
341,42649,
342,31378,
343,27271,
344,35617,
345,22951,
346,19117,
347,3118,
348,26569,
349,30817,
350,20725,
351,19720,
352,19783,
353,25297,
354,22906,
355,15157,
356,31774,
357,36487,
358,17308,
359,25213,
360,33517,
361,13987,
362,28897,
363,22477,
364,36229,
365,24163,
366,37438,
367,27427,
368,19075,
369,24859,
370,20869,
371,26683,
372,42472,
373,17956,
374,18406,
375,41770,
376,35446,
377,26005,
378,28048,
379,24541,
380,15694,
381,49810,
382,40546,
383,30610,
384,19096,
385,11506,
386,16261,
387,9673,
388,33430,
389,25603,
390,35977,
391,27187,
392,42577,
393,28246,
394,42766,
395,43324,
396,25507,
397,36154,
398,31327,
399,23341,
400,26263,
401,31198,
402,13936,
403,13096,
404,28504,
405,33454,
406,21601,
407,27847,
408,37648,
409,27940,
410,41794,
411,32248,
412,21523,
413,24838,
414,32008,
415,35191,
416,21304,
417,21403,
418,27424,
419,29578,
420,22468,
421,17554,
422,35017,
423,12310,
424,27586,
425,8806,
426,26581,
427,26350,
428,12748,
429,19585,
430,27829,
431,43444,
432,25807,
433,16609,
434,30166,
435,23416,
436,30424,
437,14848,
438,11119,
439,20032,
440,24715,
441,27445,
442,34072,
443,16033,
444,20536,
445,13642,
446,28243,
447,8893,
448,4168,
449,41329,
450,8059,
451,39040,
452,31300,
453,10996,
454,26218,
455,28069,
456,37486,
457,35239,
458,35881,
459,33094,
460,28576,
461,9058,
462,12982,
463,34141,
464,24070,
465,27301,
466,29770,
467,34201,
468,23908,
469,7462,
470,22372,
471,26764,
472,50584,
473,26311,
474,19774,
475,37333,
476,11074,
477,15508,
478,28348,
479,45382,
480,17554,
481,35851,
482,19498,
483,24226,
484,18907,
485,32335,
486,6760,
487,14194,
488,19645,
489,20752,
490,22501,
491,36322,
492,36697,
493,25093,
494,20974,
495,21709,
496,11620,
497,28390,
498,6973,
499,30889,
500,35239,
501,26095,
502,40918,
503,37042,
504,32308,
505,32677,
506,7603,
507,11491,
508,18496,
509,39463,
510,39736,
511,30763,
512,14104,
513,13594,
514,25138,
515,29539,
516,26797,
517,10360,
518,16957,
519,37915,
520,30568,
521,37069,
522,28933,
523,39352,
524,16765,
525,30142,
526,7759,
527,28114,
528,7582,
